Ship,BuildingYear,BuildingYard,Owner,Operator,Length,Breadth,Draft,GT,Mashinery,Flag,Notes
'M/F Tustumena','1964 / 1969','Christy Corporation, USA (#418)','Alaska State','Alaska Marine Highway System','73,76 m / 90,22 m','17,98 m','4,37 m','? / 4.529','2 * EMD R12-645-F7b','United States of America','-'
'M/F Badji Mokhtar III','2021 ','GSI-CSTC, China (#17121028)','E.N.T.M.V.','Algerie Ferries','200 m','20 m','6,7 m','49.785','4 * ?','Algeria','-'
'M/F El Djazair II','2005 ','IZAR, Spain (#294)','E.N.T.M.V.','Algerie Ferries','145,0 m','24,0 m','6,0 m','20.024','2 * Wärtsilä 12V46','Algeria','-'
'M/F Tariq Ibn Ziyad','1995 ','Union Naval de Levante, Spain (#211)','E.N.T.M.V.','Algerie Ferries','153,26 m','25,2 m','6,0 m','21.659','2 * Wärtsilä 12V46','Algeria','-'
'M/F Tassili II','2004 ','IZAR, Spain (#293)','E.N.T.M.V.','Algerie Ferries','145,0 m','24,0 m','6,0 m','20.024','2 * Wärtsilä 12V46','Algeria','-'
'M/F Frigg Sydfyen','1984 ','Svendborg Skibsværft A/S, Denmark (#172)','Molslinjen A/S','Alslinjen','70,1 m','12,0 m','3,1 m','1.676','2 * B&W/Alpha 6T23L-KVO','Denmark','-'
'M/F Fynshav','1998 / 2015','Ørskov staalskibsværft, Denmark (#205)','Molslinjen A/S','Alslinjen','69,2 m','14,8 m','3,07 m','3.380','2 * B&W/Alpha 6L28/32A-DVO','Denmark','Interior - Fynshav http://www.ferry-site.dk/9183025.htm'
'M/F Asterion II','1991 ','Mitsubishi Heavy Industri, Japan (#1183)','Alphaglobe Shipping Ltd','Anek Lines','192,50 m','27,0 m','6,70 m','31.804','2 * Man-B&W','Cyprus','-'
'M/F El Venizelos','1992 ','Stocznia, Poland','Anek Lines SA','Anek Lines','175,4 m','28,5 m','6,7 m','38.261','4 * Zgoda-Sulzer 16ZV 40/48','Greece','-'
'M/F Elyros','1998 / 2007','Mitsubishi Heavy Industries, Japan ','Anek Lines SA','Anek Lines','192,0 m','27,0 m','6,7 m','12.325 / 33.635','2 * Pielstick 12PC4-2','Greece','Interior - Elyros http://www.ferry-site.dk/9178599.htm'
'M/F Hellenic Spirit','2001 ','Fosen Mek Verksteder A/S, Norway (#70)','Anek Lines SA','Anek Lines','204,0 m','25,8 m','6,8 m','32.694','4 * Wärtsilä 12V46C','Greece','-'
'M/F Kriti I','1979 / 1996','Koyo Dockyard, Japan (#828)','Anek Lines SA','Anek Lines','191,8 m','29,44 m','6,78 m','14.375 / 27.239','2 * Mitsubishi-MAN 16V52/55','Greece','-'
'M/F Kriti II','1979 / 1995','Koyo Dockyard, Japan (#830)','Anek Lines SA','Anek Lines','191,8 m','29,44 m','6,9 m','27.239','2 * Mitsubishi-MAN 16V52/55','Greece','-'
'M/F Olympic Champion','2000 ','Fosen Mek Verksteder A/S, Norway (#69)','Anek Lines SA','Anek Lines','204,0 m','25,8 m','6,8 m','32.694','4 * Wärtsilä 12V46C','Greece','-'
'M/F Prevelis','1980 / 1994','Imabari Shipbuilding, Japan (#396)','Anek Lines SA','Anek Lines','142,47 m','23,5 m','5,8 m','5.683 / 15.350','2 * Pielstick 12PC2-5V','Greece','-'
'M/F Avangard','2009 ','?, Ukraine (#01089)','Ugtrans Terminal Co. Ltd','AnRussTrans','133,7 m','21,0 m','4,8 m','5.484','?','Russia','-'
'M/F Slavyanin','1984 / 1993 / 2010','Rauma Repola, Finland (#285)','Starway management Property','AnRussTrans','120,2 m / 150,2 m','21,0 m','6,7 m / 4,5 m','10.991 / 6.327','1 * Wärtsilä-Pielstick','Tanzania','-'
'M/F Amman','1995 ','Astilleros de Huelva SA, Huelva, Spain (#497)','Arab Bridge Maritim Co','Arab Bridge Maritime','139,7 m','18,4 m','3,74 m','8.851','2 * Deutz-MWM SBV 12M 640','Egypt','-'
'M/F Aylah','2009 ','Elthom Shipyard, Greece (#25)','Arab Bridge Maritim Co','Arab Bridge Maritime','96,37 m','17,02 m','3,60 m','5.119','2 * MAN & B&W 12V28/32A','Jordan','-'
'M/F Bridge','1989 ','Nuovi Cantieri Apunia S.p.A., Italy (#1143)','Arab Bridge maritime Co.','Arab Bridge Maritime','121,56 m','19,8 m','5,61 m','7.363','GMT A320.12','Egypt','-'
'HSC Queen Nefertiti','1997 ','Fincantieri, Italy (#6005)','Arab Bridge Maritime Co.','Arab Bridge Maritime','94,5 m','16 m','2,89 m','3.971','4 * M.T.U. 8V183','Jordan','-'
'M/F Sinaa','1995 / 2016','Astillero Barreras S.A., Spain (#1545)','Arab Bridge Matitime Co.','Arab Bridge Maritime','120,0 m','19,5 m','5,3 m','9.667 / 9.807','2 * Deutz 8M645','Jordan','-'
'HSC The Princess','2003 ','Cant. Nav. Rodriquez S.p.A., Italy (#323)','Arab Bridge Maritime Co.','Arab Bridge Maritime','83,35 m','13,5 m','2,02 m','2.552','4 * M.T.U.','Jordan','-'
'M/F Baagø-færgen','1976 / 1998','Assens skibsværft, Denmark (#292)','Assens Kommune','Assens - Baagø Færgen','23,5 m / 25,7 m','6,52 m','2,05 m','150','2 * Gardner 8LXB','Denmark','-'
'M/F Baja Star','1992 ','Shimonoseki, Japan ','Baja Ferries SA de CV','Baja Ferries','170 m','25 m','?','24.946','?','Mexico','-'
'M/F Mexico Star','2004 ','Societa Esercizio Cantieri S.p.A, Italy','Baja Ferries SA DE CV','Baja Ferries','182,6 m','25,5 m','7,4 m','21.089 / 21.171','4 * Sulzer 8ZA40S','Mexico','-'
'M/F Abel Matutes','2010 ','Astillero Barreras, Spain (#1661)','Balearia Eurolineas Maritimas S.A.L.','Balearia','190,5 m','26,0 m','5,3 m','29.670','2 * MaK 9M 46 dual fuel (2019-)
','Spain','-'
'HSC Avemar Dos','1997 ','Austal Ships, Australia (#60)','Balearia Eurolineas Maritimas S.A.L.','Balearia','82,3 m','23,0 m','2,86 m','5.517','4 * MTU 1163 M84 (2021-)
','Spain','-'
'M/F Bahama Mama','2009 ','Astilleros Barreras, Spain (#1662)','Gestion Naviera Sl','Balearia','154,5 m','24,2 m','5,5 m','20.238','2 * Caterpillar MaK 9M43C','Malta','-'
'HSC Cecilia Payne','1999 ','Austal Ships, Australia (#94)','Balearia Eurolineas Maritimas S.A.L.','Balearia','86,6 m','24,0 m','3,2 m','5.992','4 * Caterpillar 3618','Cyprus','-'
'M/F Dénia Ciutat Creativa','1992 / 1994','Van Der Giessen-de Noord, Netherlands (#957)','Balearia Eurolineas Maritimas','Balearia','150,42 m','23,4 m','6,01 m','14.398 / 19.308','2 * Sulzer 8ZAL40S','Cyprus','-'
'HSC Eleanor Roosevelt','2021 ','Astilleros Armon Gijón, Spain (#G021)','Naviera Barayo AIE','Balearia','123,30 m','28,0 m','3,4 m','12.467','4 * Wärtsilä 16V31 DF','Cyprus','-'
'HSC Formentera Direct','1987 / 1990','Westamarin, Norway (#92)','Balearia Eurolineas Maritimas','Balearia','49,45 m','14,0 m','2,43 m','775 / 1.075','4 * M.T.U. 39616VTE74L','Spain','-'
'M/F Hedy Lamarr','2010 ','Cantiere Navale 'Visentini' S.A.S. di Visentini Francesco & C., Italy (#223)','Balearia Eurolineas Maritimas','Caronte & Tourist','186,5 m','25,6 m','6,8 m','26.375','2 * MAN 9L48/60B','Cyprus','-'
'M/F Hypatia de Alejandria','2019 ','C.N. "Visentini" di Visentini Francesco & C. Italy ','Balearia Eurolineas Maritimas S.A.','Balearia','186,5 m','25 m','?','28.658','2 * ? (dualfuel)','Cyprus','-'
'HSC Jaume I','1994 ','Incat, Tasmania (#33)','Balearia Eurolineas Maritimas S.A.','Balearia','77,46 m','26,0 m','2,72 m','3.989','4 * Caterpillar 3616','Malta','-'
'HSC Jaume II','1995 ','Incat, Australia (#38)','Balearia Eurolineas Maritimas','Balearia','80,65 m','26,0 m','3,14 m','4.112','4 * Ruston (1995-2017)','Spain','-'
'HSC Jaume III','1996 ','Incat, Australia (#41)','Balearia Eurolineas Maritimas','Balearia','81,15 m','26,0 m','3,14 m','4.305','4 * Caterpillar C280 (2019-)
','Spain','-'
'M/F Martin i Soler','2009 / 2021','Astilleros Barreras, Spain ','Balearia Eurolineas Maritimas','Balearia','165,3 m','25,6 m','5,5 m','24.614','2 * MaK 9M43C (2009-2021)','Spain','-'
'M/F Nápoles','2002 ','C.N. "Visentini" di Visentini Francesco & C. Italy (#193)','Kanalion Marine Co Ltd','Balearia','186,0 m','25,6 m','6,5 m','24.409','2 * MAN 9L48/60','Cyprus','-'
'HSC Nixe','2004 ','Marinteknik Shipbuilding, Singapore (#185)','Balearia Eurolineas Maritimas S.A.L.','Balearia','63,2 m','16,0 m','2,0 m','2.292','4 * MTU 16V 4000 M70','Spain','-'
'M/F Passió per Formentera','2009 ','Hijos de J barreras S.A, Spain (#1663)','Balearia Eurolineas Maritimas S.A.L.','Balearia','100,0 m','17,0 m','4,0 m','6.146','2 * Rolls-Royce Bergen','Spain','-'
'M/F Poeta López Anglada','1984 / 1997','Dubigeon Normandie, France (#167)','Balearia Eurolineas Maritimas S.A.L.','Balearia','130,0 m','22,5 m','4,98 m','15.093 / 15.229','2 * Pielstick 16PC2/6V 400','Spain','Interior - Stena Navigator http://www.ferry-site.dk/8208763.htm'
'M/F Posidonia','1980 ','Luigi Orlando, Italy (#153)','Balearia Eurolineas Maritimas S.A.U.','Balearia','71,13 m','14,03 m','3,61 m','1.386 / 2.819','2 * GMT','Spain','-'
'HSC Ramon Llull','2003 ','Rodriquez Cantieri Navali SpA., Italy (#311)','Balearia Eurolineas Maritimas','Balearia','83,35 m','13,5 m','1,76 m','2.616','4 * B&W MAN 18VP185','Spain','-'
'M/F Regina Báltica','1980 ','Wärtsila Marina Åbo, Finland (#1248)','Balearia Eurolineas Maritimas','Balearia','145,2 m','25,2 m','5,52 m','18.345','4 * Pielstick 12 PC2SV','Cyprus','-'
'M/F Sicília','2002 ','C.N. "Visentini" di Visentini Francesco & C. Italy (#194)','Kanalion Marine Co Ltd','Balearia','186,0 m','25,6 m','6,5 m','24.409','2 * MAN 9L51/60DF (2020-)
','Cyprus','-'
'M/F Virot','1973 ','Smedvik Mek. Verksted AS, Norway (#38)','Balearia Eurolineas Maritimas','Balearia','64,49 m','11,4 m','3,03 m','744','Wichmann 5AXA','Spain','-'
'M/F Wasa Express','1981 / 1997 / 2004','OY Wärtsilä AB, Helsingfors, Finland (#432)','UME Shipping','Balearia','137,4 m / 141,0 m','22,61 m / 22,81 m','5,75 m','9.120 / 17.046 / 17.053','4 * Wärtsilä 12V32 4SA','Cyprus','-'
'M/F Barsøfærgen','1980 ','Aabenraa Værft A/S, Denmark (#38)','Aabenraa Kommune','Barsøfærgen','19,65 m','5,76 m','2,17 m','51','2 * Scania DN11','Denmark','-'
'M/F Bastø Electric','2020 ','Sefine Shipyard, Turkey (#42)','T-Finans AS','Bastø Fosen','143,22 m','20,7 m','4,62 m','7.865','4 * Cummins QSK50 IMO Tier III + Battery','Norway','-'
'M/F Bastø I','1997 ','Fosen Mekaniske Verksteder AS, Norway (#65)','T-Finans AS','Bastø Fosen','109,0 m','18,5 m','4,68 m','5.505','1 * Wärtsilä Wichman 28B','Norway','-'
'M/F Bastø II','1997 ','Fosen Mekaniske Verksteder AS, Norway (#66)','T-Finans AS','Bastø Fosen','109,0 m','18,5 m','4,68 m','5.505','1 * Wärtsilä Wichman 28B','Norway','-'
'M/F Bastø IV','2016 / 2021','Sefine Shipyard, Turkey (#28)','T-Finans AS','Bastø Fosen','142,9 m','21,0 m','?','7.870','2 * Rolls Royce AZP 100 CP','Norway','Converted to hybrid ferry in 2021.'
'M/F Bastø V','2017 ','Sefine Shipyard, Turkey (#29)','T-Finans AS','Bastø Fosen','142,9 m','21,0 m','?','7.870','2 * Rolls Royce AZP 100 CP','Norway','-'
'M/F Bastø VI','2016 ','Cemre Shipyard, Turkey (#46)','T-Finans AS','Bastø Fosen','142,9 m','21,0 m','?','7.870','2 * Rolls Royce AZP 100 CP','Norway','-'
'M/F Marstein','1989 / 1993','Trønderverftet AS, Norway (#62)','T-Finans AS','Bastø Fosen','80,1 m / 86,24 m','14,5 m','4,5 m','2.714 / 3.667','1 * Normo/Bergen KVMB-12','Norway','-'
'M/F Svelvik','2021 ','Sefine Shipyard, Turkey (#44)','T-Finans AS','Bastø Fosen','54,0 m','12,8 m','3,1 m','800','? + 342 kWh battery','Norway','-'
'HSC Alakai','2007 / 2016','Austal (#615)','MSC United States Government Dept','Bay Ferries & Northumberland Ferris','106,50 m','23,8 m','3,65 m','8.127','4 x MTU 20V 8000 M70','United States of America','-'
'M/F Confederation','1994 ','Pictou Industries Ltd., Canada ','Northumberland Ferries Ltd.','Bay Ferries & Northumberland Ferris','114,2 m','18,77 m','4,44 m','8.060','?','Canada','-'
'M/F Fundy Rose','2000 ','Daewoo Heavy Industries, South Korea (#7504)','Canada Government Transportation','Bay Ferries & Northumberland Ferris','123,8 m','18,9 m','5,1 m','10.193','4 * Wärtsilä NSD 9L32','Canada','-'
'M/F Holiday Island','1971 ','Port Weller Drydock, Canada ','Canada Government Transportation','Bay Ferries & Northumberland Ferris','99,06 m','20,9 m','5,0 m','3.037','?','Canada','-'
'M/F Baynes Sound Connector','2015 ','?, Canada ','British Columbia Ferry Service','BC Ferries','78,5 m','17 m','?','753','?','Canada','-'
'M/F Bowen Queen','1965 ','?, Canada ','British Columbia Ferry Service','BC Ferries','84,96 m','18,65 m','?','1.476','?','Canada','-'
'M/F Coastal Celebration','2008 ','Flensburger Schiffbau-Gesellschaft, Germany (#735)','British Columbia Ferry Service','BC Ferries','160,0 m','28,2 m','5,75 m','21.777','4 * MaK 8M32C','Canada','-'
'M/F Coastal Inspiration','2008 ','Flensburger Schiffbau-Gesellschaft, Germany (#734)','British Columbia Ferry Service','BC Ferries','160,0 m','28,2 m','5,75 m','21.777','4 * MaK 8M32C','Canada','-'
'M/F Coastal Renaissance','2007 ','Flensburger Schiffbau-Gesellschaft, Germany (#733)','British Columbia Ferry Service','BC Ferries','160,0 m','28,2 m','5,75 m','21.777','4 * MaK 8M32C','Canada','-'
'M/F Island 6','2021 ','Damen Shipyard, Romania (#539323)','British Columbia Ferry Service','BC Ferries','80,8 m','17,0 m','3,2 m','2.277','? + battery pack','Canada','Delivery in 2021.'
'M/F Island Aurora','2020 ','Damen Shipyard, Romania ','British Columbia Ferry Service','BC Ferries','80,8 m','17,0 m','3,2 m','2.277','? + battery pack','Canada','-'
'M/F Island Discovery','2020 ','Damen Shipyard, Romania ','British Columbia Ferry Service','BC Ferries','80,8 m','17,0 m','3,2 m','2.277','? + battery pack','Canada','-'
'M/F Island K'ulut'a','2021 ','Damen Shipyard, Romania (#539321)','British Columbia Ferry Service','BC Ferries','80,8 m','17,0 m','3,2 m','2.277','? + battery pack','Canada','-'
'M/F Island Kwigwis','2021 ','Damen Shipyard, Romania (#539322)','British Columbia Ferry Service','BC Ferries','80,8 m','17,0 m','3,2 m','2.277','? + battery pack','Canada','-'
'M/F Island Nagalis','2021 ','Damen Shipyard, Romania (#539320)','British Columbia Ferry Service','BC Ferries','80,8 m','17,0 m','3,2 m','2.277','? + battery pack','Canada','-'
'M/F Kahloke','1973 ','?, Canada ','British Columbia Ferry Service','BC Ferries','54,71 m','14,18 m','?','466','?','Canada','-'
'M/F Klitsa','1972 ','Vancouver Shipyards, Canada ','British Columbia Ferry Service','BC Ferries','47,55 m','12,25 m','?','345','?','Canada','-'
'M/F Kuper','1985 / 2006','?, USA ','Pacific Marine Leasing Inc.','BC Ferries','52,21 m','16,77 m','?','537','?','Canada','-'
'M/F Kwuna','1975 ','?, Canada ','British Columbia Ferry Service','BC Ferries','71,64 m','14,18 m','?','347','?','Canada','-'
'M/F Malaspina Sky','2008 ','Washington Marine Group, Canada ','British Columbia Ferry Service','BC Ferries','102,0 m','27 m','?','4.313','?','Canada','-'
'M/F Mayne Queen','1965 ','?, Canada ','British Columbia Ferry Service','BC Ferries','84,96 m','18,62 m','?','1.476','?','Canada','-'
'M/F Northern Adventure','2004 ','Atsalakis, Greece (#10)','British Columbia Ferry Service','BC Ferries','117,0 m','20,0 m','4,5 m','9.844','2 * MaK 16M32C','Canada','-'
'M/F Northern Expedition','2009 ','Flensburger Schiffbau-Gesellschaft, Germany (#748)','British Columbia Ferry Service','BC Ferries','151,75 m','23,0 m','4,9 m','17.729','2 * MaK 9M32C','Canada','-'
'M/F Northern Sea Wolf','2000 / 2018','Panagiotakis Bros., Greece ','British Columbia Ferry','BC Ferries','76,38 m','15,0 m','2,8 m','2.679','2 * Cummins Diesel 2399 kw','Canada','-'
'M/F Powell River Queen','1965 ','?, Canada ','British Columbia Ferry Service','BC Ferries','84,96 m','18,62 m','?','1.486','?','Canada','-'
'M/F Quadra Queen II','1969 ','Allied Shipbuilders Ltd., Canada (#165)','British Columbia Ferry Service','BC Ferries','49,61 m','13,11 m','2,36 m','936','2 * Ruston','Canada','-'
'M/F Queen of Alberni','1976 ','Vancouver Shipyards Co. Ltd., Canada (#62)','British Columbia Ferry Service','BC Ferries','139,35 m','27,08 m','5,49 m','5.863','2 * MaK','Canada','-'
'M/F Queen of Capilano','1991 ','Vancouver Shipyards Co. Ltd., Canada (#126)','British Columbia Ferry Service','BC Ferries','96,0 m','21,23 m','3,65 m','2.885','3 * Normo','Canada','-'
'M/F Queen of Coquitlam','1976 ','Burrard D.D. Co. Ltd., Canada (#219)','British Columbia Ferry Service','BC Ferries','139,35 m','27,13 m','5,33 m','13.646','2 * MaK 12M551AK','Canada','-'
'M/F Queen of Cowichan','1976 ','Yarrows Ltd, Canada (#371)','British Columbia Ferry Service','BC Ferries','139,29 m','27,08 m','?','6.551','2 * MaK 12M551AK','Canada','-'
'M/F Queen of Cumberland','1992 ','Vancouver Shipyards Co. Ltd., Canada (#127)','British Columbia Ferry Service','BC Ferries','96,0 m','21,23 m','3,75 m','2.885','3 * Normo','Canada','-'
'M/F Queen of New Westminster','1964 / 1973 / 1991','Victoria Machinery Depot Co. Ltd., Canada (#105)','British Columbia Ferry Service','BC Ferries','105,3 m / 129,98 m','23,93 m','3,61 m / 3,98 m','? / 8.785','4 * Wärtsilä Vasa 9R32 (1991-)
','Canada','-'
'M/F Queen of Oak Bay','1981 ','Burrard Yarrows Corp., Canada (#550)','British Columbia Ferry Service','BC Ferries','139,35 m','27,59 m','5,51 m','6.969','2 * MaK 12M551AK','Canada','-'
'M/F Queen of Surrey','1981 ','Burrard Yarrows Corp., Canada (#100)','British Columbia Ferry Service','BC Ferries','139,35 m','27,59 m','5,51 m','6.969','2 * MaK 12M551AK','Canada','-'
'M/F Quinitsa','1977 ','Vancouver Shipyards, Canada ','British Columbia Ferry Service','BC Ferries','77,59 m','19,51 m','?','1.107','?','Canada','-'
'M/F Quinsam','1982 ','Vancouver Shipyards, Canada ','British Columbia Ferry Service','BC Ferries','89,84 m','21,24 m','?','1.458','?','Canada','-'
'M/F Salish Eagle','2017 ','Remontowa Shipbuilding S.A., Poland (#B615/2)','British Columbia Ferry','BC Ferries','107,4 m','23,5 m','4,7 m','8.728','3 * Wärtsilä 8L20 DF','Canada','-'
'M/F Salish Heron','2021 ','Remontowa Shipbuilding S.A., Poland (#B615/4)','British Columbia Ferry','BC Ferries','107,4 m','23,5 m','4,7 m','8.728','3 * Wärtsilä 8L20 DF','Canada','-'
'M/F Salish Orca','2016 ','Remontowa Shipbuilding S.A., Poland (#B615/1)','British Columbia Ferry','BC Ferries','107,4 m','23,5 m','4,7 m','8.728','3 * Wärtsilä 8L20 DF','Canada','-'
'M/F Salish Raven','2017 ','Remontowa Shipbuilding S.A., Poland (#B615/3)','British Columbia Ferry','BC Ferries','107,4 m','23,5 m','4,7 m','8.728','3 * Wärtsilä 8L20 DF','Canada','-'
'M/F Skeena Queen','1997 ','Allied Shipbuilders Ltd., Canada (#257)','British Columbia Ferry Service','BC Ferries','110,0 m','23,45 m','2,8 m','2.634','4 * Mitsubishi S6U (2002-)
','Canada','-'
'M/F Spirit of British Columbia','1993 ','Integrated Ferry Construction, Canada (#20/254)','British Columbia Ferry','BC Ferries','167,5 m','27,21 m','5,0 m','21.958','4 * Wärtsilä W8L34DF (2018-)','Canada','-'
'M/F Spirit of Vancouver Island','1994 ','Integrated Ferry Construction, Canada (#21/255)','British Columbia Ferry','BC Ferries','167,5 m','27,21 m','5,0 m','21.958','4 * Wärtsilä W8L34DF (2019-)','Canada','-'
'M/F Tachek','1969 ','Allied Shipbuilders, Canada ','British Columbia Ferry Service','BC Ferries','49,53 m','14,63 m','?','?','? + battery pack','Canada','-'
'M/F Blue Carrier 1','2000 ','Guangzhou Wenchong Shipyard, China (#7130011)','Attica Ferries Maritime Co.','Blue Star Ferries','142,5 m','23,54 m','5,0 m','13.073','2 * Sulzer','Greece','-'
'M/F Blue Galaxy','1992 / 2000','Mitsubishi Heavy Industries, Japan (#954)','Hellas 2 Leasing Maritime Co.','Blue Star Ferries','192,0 m','27,0 m','6,72 m','13.403 / 29.429 / 29.992','2 * Pielstick 12PC4-2V','Greece','-'
'M/F Blue Horizon','1987 / 1999','Mitsubishi Heavy Industries, Japan (#899)','Blue Star Ferries Naftiliaki','Blue Star Ferries','187,1 m','27,0 m','6,62 m','16.725 / 27.230','2 * MAN-Mitsubishi 8L58/64','Greece','-'
'M/F Blue Star 2','2000 ','Van der Giessen-de Noord, Netherlands (#978)','Blue Star Ferries Naftiliaki','Blue Star Ferries','176,1 m','25,7 m','6,45 m','29.415 / 29.560','4 * MAN B&W 8L58/64 + 3 * MAN B&W 6L28/32','Greece','-'
'M/F Blue Star Chios','2007 ','Elefsis Shipyards, Greece (#702)','Hellenic Seaways','Blue Star Ferries','136,7 m','21,0 m','5,2 m','13.955','4 * Wärtsilä 12V38','Greece','-'
'M/F Blue Star Delos','2011 ','Daewoo Shipbuilding & Marine Engineering Co Ltd, South Korea (#7509)','Attica Ferries Maritime Co.','Blue Star Ferries','145,9 m','23,2 m','5,9 m','18.498','4 * MAN','Greece','-'
'M/F Blue Star Mykonos','2005 ','Skaramangas Shipyards, Greece (#701)','Hellenic Seaways','Blue Star Ferries','136,7 m','21,0 m','5,2 m','14.717','4 * Wärtsilä 12V38','Greece','Interior - Nissos Mykonos http://www.ferry-site.dk/9208679.htm'
