Company,Link
'Hellenic Seaways',http://www.ferry-site.dk/ferrycompany.php?Rid=197&lang=en
'Holland Norway Lines',http://www.ferry-site.dk/ferrycompany.php?Rid=382&lang=en
'Hundested-Rørvig Færgefart',http://www.ferry-site.dk/ferrycompany.php?Rid=245&lang=en
'Hurtigruten',http://www.ferry-site.dk/ferrycompany.php?Rid=43&lang=en
'Hvalpsund-Sundsøre Færgefart',http://www.ferry-site.dk/ferrycompany.php?Rid=263&lang=en
'Ichnusa Lines',http://www.ferry-site.dk/ferrycompany.php?Rid=378&lang=en
'Inter Shipping',http://www.ferry-site.dk/ferrycompany.php?Rid=311&lang=en
'Interislander',http://www.ferry-site.dk/ferrycompany.php?Rid=210&lang=en
'Irish Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=45&lang=en
'Isle of Man Steam Packet Company',http://www.ferry-site.dk/ferrycompany.php?Rid=46&lang=en
'Jadrolinija',http://www.ferry-site.dk/ferrycompany.php?Rid=194&lang=en
'Kerkyra Lines',http://www.ferry-site.dk/ferrycompany.php?Rid=205&lang=en
'Kulhuse - Sølager',http://www.ferry-site.dk/ferrycompany.php?Rid=246&lang=en
'La Méridionale',http://www.ferry-site.dk/ferrycompany.php?Rid=299&lang=en
'Langelandslinjen',http://www.ferry-site.dk/ferrycompany.php?Rid=345&lang=en
'Laziomar',http://www.ferry-site.dk/ferrycompany.php?Rid=308&lang=en
'Levante Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=330&lang=en
'Lineas Fred. Olsen',http://www.ferry-site.dk/ferrycompany.php?Rid=50&lang=en
'Lolland Færgefart',http://www.ferry-site.dk/ferrycompany.php?Rid=262&lang=en
'Maddalena Lines',http://www.ferry-site.dk/ferrycompany.php?Rid=327&lang=en
'Marine Atlantic',http://www.ferry-site.dk/ferrycompany.php?Rid=156&lang=en
'Medmar',http://www.ferry-site.dk/ferrycompany.php?Rid=239&lang=en
'Minoan Lines',http://www.ferry-site.dk/ferrycompany.php?Rid=56&lang=en
'Moby Lines',http://www.ferry-site.dk/ferrycompany.php?Rid=57&lang=en
'Molslinjen',http://www.ferry-site.dk/ferrycompany.php?Rid=331&lang=en
'Mors-Thy Færgefart',http://www.ferry-site.dk/ferrycompany.php?Rid=265&lang=en
'Namma Shipping Lines',http://www.ferry-site.dk/ferrycompany.php?Rid=302&lang=en
'Naviera Armas',http://www.ferry-site.dk/ferrycompany.php?Rid=169&lang=en
'Nordö Link',http://www.ferry-site.dk/ferrycompany.php?Rid=61&lang=en
'Norled',http://www.ferry-site.dk/ferrycompany.php?Rid=319&lang=en
'NorthLink Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=64&lang=en
'Næssundfærgens Venner',http://www.ferry-site.dk/ferrycompany.php?Rid=334&lang=en
'Orkney Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=288&lang=en
'P&O Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=65&lang=en
'Polferries',http://www.ferry-site.dk/ferrycompany.php?Rid=67&lang=en
'Pomorski saobracaj',http://www.ferry-site.dk/ferrycompany.php?Rid=326&lang=en
